"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"381",25,6,181,110,2945,16.4,82,1,"buick century limited"
"373",38,4,105,63,2125,14.7,82,1,"plymouth horizon miser"
"42",12,8,383,180,4955,11.5,71,1,"dodge monaco (sw)"
"261",19.2,8,305,145,3425,13.2,78,1,"chevrolet monte carlo landau"
"388",27,4,140,86,2790,15.6,82,1,"ford mustang gl"
"70",13,8,400,190,4422,12.5,72,1,"chrysler newport royal"
"277",31.5,4,89,71,1990,14.9,78,2,"volkswagen scirocco"
"94",13,8,440,215,4735,11,73,1,"chrysler new yorker brougham"
"272",23.9,4,119,97,2405,14.9,78,3,"datsun 200-sx"
"125",20,6,198,95,3102,16.5,74,1,"plymouth duster"
"379",32,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"83",28,4,98,80,2164,15,72,1,"dodge colt (sw)"
"390",32,4,135,84,2295,11.6,82,1,"dodge rampage"
"232",29,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"248",19.9,8,260,110,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"53",31,4,71,65,1773,19,71,3,"toyota corolla 1200"
"350",33,4,105,74,2190,14.2,81,2,"volkswagen jetta"
"51",30,4,79,70,2074,19.5,71,2,"peugeot 304"
"229",15.5,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"82",23,4,120,97,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"77",22,4,121,76,2511,18,72,2,"volkswagen 411 (sw)"
"85",13,8,350,175,4100,13,73,1,"buick century 350"
"246",39.4,4,85,70,2070,18.6,78,3,"datsun b210 gx"
"165",13,8,302,129,3169,12,75,1,"ford mustang ii"
"244",36.1,4,98,66,1800,14.4,78,1,"ford fiesta"
"387",27,4,151,90,2950,17.3,82,1,"chevrolet camaro"
"233",24.5,4,151,88,2740,16,77,1,"pontiac sunbird coupe"
"132",16,6,250,100,3781,17,74,1,"chevrolet chevelle malibu classic"
"348",34.4,4,98,65,2045,16.2,81,1,"ford escort 4w"
"198",20,6,225,100,3651,17.7,76,1,"dodge aspen se"
"254",25.1,4,140,88,2720,15.4,78,1,"ford fairmont (man)"
"178",22,4,121,98,2945,14.5,75,2,"volvo 244dl"
"66",17,8,304,150,3672,11.5,72,1,"amc ambassador sst"
"29",9,8,304,193,4732,18.5,70,1,"hi 1200d"
"192",24,6,200,81,3012,17.6,76,1,"ford maverick"
"138",14,8,302,140,4638,16,74,1,"ford gran torino (sw)"
"263",18.1,8,302,139,3205,11.2,78,1,"ford futura"
"8",14,8,440,215,4312,8.5,70,1,"plymouth fury iii"
"72",15,8,304,150,3892,12.5,72,1,"amc matador (sw)"
"95",12,8,455,225,4951,11,73,1,"buick electra 225 custom"
"354",31.6,4,120,74,2635,18.3,81,3,"mazda 626"
"284",17,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"131",25,4,140,75,2542,17,74,1,"chevrolet vega"
"353",32.9,4,119,100,2615,14.8,81,3,"datsun 200sx"
"64",15,8,318,150,4135,13.5,72,1,"plymouth fury iii"
"20",26,4,97,46,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"288",16.9,8,350,155,4360,14.9,79,1,"buick estate wagon (sw)"
"127",15,6,250,100,3336,17,74,1,"chevrolet nova"
"104",12,8,400,167,4906,12.5,73,1,"ford country"
"7",14,8,454,220,4354,9,70,1,"chevrolet impala"
"58",25,4,97.5,80,2126,17,72,1,"dodge colt hardtop"
"27",10,8,307,200,4376,15,70,1,"chevy c20"
"327",30,4,146,67,3250,21.8,80,2,"mercedes-benz 240d"
"113",21,6,155,107,2472,14,73,1,"mercury capri v6"
"283",20.6,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"134",18,6,225,105,3613,16.5,74,1,"plymouth satellite sebring"
"239",30.5,4,97,78,2190,14.1,77,2,"volkswagen dasher"
"55",27,4,97,60,1834,19,71,2,"volkswagen model 111"
"120",19,4,121,112,2868,15.5,73,2,"volvo 144ea"
"383",26,4,156,92,2585,14.5,82,1,"chrysler lebaron medallion"
"12",14,8,340,160,3609,8,70,1,"plymouth 'cuda 340"
"21",25,4,110,87,2672,17.5,70,2,"peugeot 504"
"212",13,8,350,145,4055,12,76,1,"chevy c10"
"378",38,4,91,67,1965,15,82,3,"honda civic"
"222",15.5,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
"170",24,4,134,96,2702,13.5,75,3,"toyota corona"
"111",18,3,70,90,2124,13.5,73,3,"maxda rx3"
"41",14,8,318,150,4096,13,71,1,"plymouth fury iii"
"143",31,4,76,52,1649,16.5,74,3,"toyota corona"
"57",24,4,113,95,2278,15.5,72,3,"toyota corona hardtop"
"295",27.4,4,121,80,2670,15,79,1,"amc spirit dl"
"213",13,8,302,130,3870,15,76,1,"ford f108"
"377",34,4,108,70,2245,16.9,82,3,"toyota corolla"
"201",17.5,6,258,95,3193,17.8,76,1,"amc pacer d/l"
"148",24,4,120,97,2489,15,74,3,"honda civic"
"339",30,4,135,84,2385,12.9,81,1,"plymouth reliant"
"257",20.6,6,231,105,3380,15.8,78,1,"buick century special"
"221",17,8,260,110,4060,19,77,1,"oldsmobile cutlass supreme"
"135",16,8,302,140,4141,14,74,1,"ford gran torino"
"322",27.9,4,156,105,2800,14.4,80,1,"dodge colt"
"345",37.7,4,89,62,2050,17.3,81,3,"toyota tercel"
"294",35.7,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"269",21.1,4,134,95,2515,14.8,78,3,"toyota celica gt liftback"
"245",32.8,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"49",23,4,122,86,2220,14,71,1,"mercury capri 2000"
"276",16.2,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"25",21,6,199,90,2648,15,70,1,"amc gremlin"
"240",22,6,146,97,2815,14.5,77,3,"datsun 810"
"311",37.2,4,86,65,2019,16.4,80,3,"datsun 310"
"236",30.5,4,98,63,2051,17,77,1,"chevrolet chevette"
"17",18,6,199,97,2774,15.5,70,1,"amc hornet"
"363",28,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"372",31,4,91,68,1970,17.6,82,3,"mazda glc custom"
"91",13,8,400,150,4464,12,73,1,"chevrolet caprice classic"
"202",29.5,4,97,71,1825,12.2,76,2,"volkswagen rabbit"
"270",23.2,4,156,105,2745,16.7,78,1,"plymouth sapporo"
"189",14.5,8,351,152,4215,12.8,76,1,"ford gran torino"
"382",38,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"87",13,8,350,145,3988,13,73,1,"chevrolet malibu"
"334",32.4,4,107,72,2290,17,80,3,"honda accord"
"176",23,4,115,95,2694,15,75,2,"audi 100ls"
"79",26,4,96,69,2189,18,72,2,"renault 12 (sw)"
"215",31.5,4,98,68,2045,18.5,77,3,"honda accord cvcc"
"289",15.5,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"157",16,8,318,150,4498,14.5,75,1,"plymouth grand fury"
"386",36,4,135,84,2370,13,82,1,"dodge charger 2.2"
"385",32,4,144,96,2665,13.9,82,3,"toyota celica gt"
"256",19.4,6,232,90,3210,17.2,78,1,"amc concord"
"181",28,4,107,86,2464,15.5,76,2,"fiat 131"
"61",21,4,122,86,2226,16.5,72,1,"ford pinto runabout"
"73",13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
"361",20.2,6,200,88,3060,17.1,81,1,"ford granada gl"
"316",34.3,4,97,78,2188,15.8,80,2,"audi 4000"
"247",36.1,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"147",26,4,116,75,2246,14,74,2,"fiat 124 tc"
"235",25.5,4,140,89,2755,15.8,77,1,"ford mustang ii 2+2"
"391",28,4,120,79,2625,18.6,82,1,"ford ranger"
"360",26.6,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"100",18,6,250,88,3021,16.5,73,1,"ford maverick"
"188",15.5,8,304,120,3962,13.9,76,1,"amc matador"
"211",16.5,8,350,180,4380,12.1,76,1,"cadillac seville"
"107",18,6,232,100,2789,15,73,1,"amc gremlin"
"155",16,8,400,170,4668,11.5,75,1,"pontiac catalina"
"365",34,4,112,88,2395,18,82,1,"chevrolet cavalier 2-door"
"144",32,4,83,61,2003,19,74,3,"datsun 710"
"81",28,4,97,92,2288,17,72,3,"datsun 510 (sw)"
"164",20,8,262,110,3221,13.5,75,1,"chevrolet monza 2+2"
"249",19.4,8,318,140,3735,13.2,78,1,"dodge diplomat"
"266",27.5,4,134,95,2560,14.2,78,3,"toyota corona"
"35",17,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu"
"389",44,4,97,52,2130,24.6,82,2,"vw pickup"
"214",13,8,318,150,3755,14,76,1,"dodge d100"
"156",15,8,350,145,4440,14,75,1,"chevrolet bel air"
"324",44.3,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"99",18,6,232,100,2945,16,73,1,"amc hornet"
"258",20.8,6,200,85,3070,16.7,78,1,"mercury zephyr"
"19",27,4,97,88,2130,14.5,70,3,"datsun pl510"
"318",31.3,4,120,75,2542,17.5,80,3,"mazda 626"
"199",18,6,250,78,3574,21,76,1,"ford granada ghia"
"152",18,6,250,105,3459,16,75,1,"chevrolet nova"
"180",33,4,91,53,1795,17.5,75,3,"honda civic cvcc"
"200",18.5,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"123",20,6,156,122,2807,13.5,73,3,"toyota mark ii"
"234",26,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"344",37,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"237",33.5,4,98,83,2075,15.9,77,1,"dodge colt m/m"
"286",16.5,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"279",21.5,6,231,115,3245,15.4,79,1,"pontiac lemans v6"
"280",19.8,6,200,85,2990,18.2,79,1,"mercury zephyr 6"
"62",13,8,350,165,4274,12,72,1,"chevrolet impala"
"362",17.6,6,225,85,3465,16.6,81,1,"chrysler lebaron salon"
"325",43.4,4,90,48,2335,23.7,80,2,"vw dasher (diesel)"
"356",30.7,6,145,76,3160,19.6,81,2,"volvo diesel"
"60",20,4,140,90,2408,19.5,72,1,"chevrolet vega"
"114",26,4,98,90,2265,15.5,73,2,"fiat 124 sport coupe"
"320",32.2,4,108,75,2265,15.2,80,3,"toyota corolla"
"297",23,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"56",26,4,91,70,1955,20.5,71,1,"plymouth cricket"
"333",35,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"47",19,6,250,100,3282,15,71,1,"pontiac firebird"
"5",17,8,302,140,3449,10.5,70,1,"ford torino"
"255",20.5,6,225,100,3430,17.2,78,1,"plymouth volare"
"137",14,8,318,150,4457,13.5,74,1,"dodge coronet custom (sw)"
"369",24,4,140,92,2865,16.4,82,1,"ford fairmont futura"
"208",19,4,120,88,3270,21.9,76,2,"peugeot 504"
"205",26.5,4,140,72,2565,13.6,76,1,"ford pinto"
"357",25.4,6,168,116,2900,12.6,81,3,"toyota cressida"
"136",13,8,350,150,4699,14.5,74,1,"buick century luxus (sw)"
"364",27,4,112,88,2640,18.6,82,1,"chevrolet cavalier wagon"
"290",19.2,8,267,125,3605,15,79,1,"chevrolet malibu classic (sw)"
"121",15,8,318,150,3399,11,73,1,"dodge dart custom"
"117",29,4,68,49,1867,19.5,73,2,"fiat 128"
"1",18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
"150",31,4,79,67,2000,16,74,2,"fiat x1.9"
"203",32,4,85,70,1990,17,76,3,"datsun b-210"
"238",30,4,97,67,1985,16.4,77,3,"subaru dl"
"32",25,4,113,95,2228,14,71,3,"toyota corona"
"50",28,4,116,90,2123,14,71,2,"opel 1900"
"106",12,8,350,180,4499,12.5,73,1,"oldsmobile vista cruiser"
"92",13,8,351,158,4363,13,73,1,"ford ltd"
"224",17.5,6,250,110,3520,16.4,77,1,"chevrolet concours"
"204",28,4,97,75,2155,16.4,76,3,"toyota corolla"
"195",24.5,4,98,60,2164,22.1,76,1,"chevrolet woody"
"299",23.9,8,260,90,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"54",35,4,72,69,1613,18,71,3,"datsun 1200"
"307",33.5,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"217",36,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"175",19,6,232,90,3211,17,75,1,"amc pacer"
"253",20.2,6,200,85,2965,15.8,78,1,"ford fairmont (auto)"
"210",16.5,6,168,120,3820,16.7,76,2,"mercedes-benz 280s"
"313",26.4,4,140,88,2870,18.1,80,1,"ford fairmont"
"31",28,4,140,90,2264,15.5,71,1,"chevrolet vega 2300"
"352",32.4,4,108,75,2350,16.8,81,3,"toyota corolla"
"24",26,4,121,113,2234,12.5,70,2,"bmw 2002"
"154",15,6,250,72,3158,19.5,75,1,"ford maverick"
"250",20.2,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"315",19.1,6,225,90,3381,18.7,80,1,"dodge aspen"
"11",15,8,383,170,3563,10,70,1,"dodge challenger se"
"3",18,8,318,150,3436,11,70,1,"plymouth satellite"
"119",20,4,114,91,2582,14,73,2,"audi 100ls"
"335",27.2,4,135,84,2490,15.7,81,1,"plymouth reliant"
"141",26,4,79,67,1963,15.5,74,2,"volkswagen dasher"
"329",33.8,4,97,67,2145,18,80,3,"subaru dl"
"227",18.5,6,250,98,3525,19,77,1,"ford granada"
"225",20.5,6,231,105,3425,16.9,77,1,"buick skylark"
"65",14,8,351,153,4129,13,72,1,"ford galaxie 500"
"338",23.5,6,173,110,2725,12.6,81,1,"chevrolet citation"
"310",32.1,4,98,70,2120,15.5,80,1,"chevrolet chevette"
"2",15,8,350,165,3693,11.5,70,1,"buick skylark 320"
"105",13,8,360,170,4654,13,73,1,"plymouth custom suburb"
"52",30,4,88,76,2065,14.5,71,2,"fiat 124b"
"6",15,8,429,198,4341,10,70,1,"ford galaxie 500"
"242",21.5,3,80,110,2720,13.5,77,3,"mazda rx-4"
"177",23,4,120,88,2957,17,75,2,"peugeot 504"
"337",25.8,4,156,92,2620,14.4,81,1,"dodge aries wagon (sw)"
"45",18,6,258,110,2962,13.5,71,1,"amc hornet sportabout (sw)"
"67",11,8,429,208,4633,11,72,1,"mercury marquis"
"219",33.5,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"46",22,4,140,72,2408,19,71,1,"chevrolet vega (sw)"
"304",28.4,4,151,90,2670,16,79,1,"buick skylark limited"
"347",34.7,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"267",27.2,4,119,97,2300,14.7,78,3,"datsun 510"
"302",31.8,4,85,65,2020,19.2,79,3,"datsun 210"
"101",23,6,198,95,2904,16,73,1,"plymouth duster"
"296",25.4,5,183,77,3530,20.1,79,2,"mercedes benz 300d"
"166",29,4,97,75,2171,16,75,3,"toyota corolla"
"331",32.7,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"218",25.5,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"292",31.9,4,89,71,1925,14,79,2,"vw rabbit custom"
"33",19,6,232,100,2634,13,71,1,"amc gremlin"
"158",14,8,351,148,4657,13.5,75,1,"ford ltd"
"366",31,4,112,85,2575,16.2,82,1,"pontiac j2000 se hatchback"
"273",20.3,5,131,103,2830,15.9,78,2,"audi 5000"
"321",46.6,4,86,65,2110,17.9,80,3,"mazda glc"
"190",22,6,225,100,3233,15.4,76,1,"plymouth valiant"
"226",19,6,225,100,3630,17.7,77,1,"plymouth volare custom"
