"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"167",23,4,140,83,2639,17,75,1,"ford pinto"
"168",20,6,232,100,2914,16,75,1,"amc gremlin"
"171",25,4,90,71,2223,16.5,75,2,"volkswagen dasher"
"172",24,4,119,97,2545,17,75,3,"datsun 710"
"173",18,6,171,97,2984,14.5,75,1,"ford pinto"
"174",29,4,90,70,1937,14,75,2,"volkswagen rabbit"
"179",25,4,121,115,2671,13.5,75,2,"saab 99le"
"183",25,4,140,92,2572,14.9,76,1,"capri ii"
"185",27,4,101,83,2202,15.3,76,2,"renault 12tl"
"186",17.5,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"187",16,8,318,150,4190,13,76,1,"dodge coronet brougham"
"193",22.5,6,232,90,3085,17.6,76,1,"amc hornet"
"197",33,4,91,53,1795,17.4,76,3,"honda civic"
"209",19,6,156,108,2930,15.5,76,3,"toyota mark ii"
"216",30,4,111,80,2155,14.8,77,1,"buick opel isuzu deluxe"
"220",17.5,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"223",15,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"228",16,8,400,180,4220,11.1,77,1,"pontiac grand prix lj"
"230",15.5,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"241",21.5,4,121,110,2600,12.8,77,2,"bmw 320i"
"243",43.1,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"251",19.2,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"252",20.5,6,200,95,3155,18.2,78,1,"chevrolet malibu"
"259",18.6,6,225,110,3620,18.7,78,1,"dodge aspen"
"260",18.1,6,258,120,3410,15.1,78,1,"amc concord d/l"
"262",17.7,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"268",30.9,4,105,75,2230,14.5,78,1,"dodge omni"
"271",23.8,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"274",17,6,163,125,3140,13.6,78,2,"volvo 264gl"
"275",21.6,4,121,115,2795,15.7,78,2,"saab 99gle"
"278",29.5,4,98,68,2135,16.6,78,3,"honda accord lx"
"282",20.2,6,232,90,3265,18.2,79,1,"amc concord dl 6"
"285",17.6,8,302,129,3725,13.4,79,1,"ford ltd landau"
"293",34.1,4,86,65,1975,15.2,79,3,"maxda glc deluxe"
"298",27.2,4,141,71,3190,24.8,79,2,"peugeot 504"
"300",34.2,4,105,70,2200,13.2,79,1,"plymouth horizon"
"301",34.5,4,105,70,2150,14.9,79,1,"plymouth horizon tc3"
"303",37.3,4,91,69,2130,14.7,79,2,"fiat strada custom"
"305",28.8,6,173,115,2595,11.3,79,1,"chevrolet citation"
"306",26.8,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"308",41.5,4,98,76,2144,14.7,80,2,"vw rabbit"
"312",28,4,151,90,2678,16.5,80,1,"chevrolet citation"
"317",29.8,4,134,90,2711,15.5,80,3,"toyota corona liftback"
"319",37,4,119,92,2434,15,80,3,"datsun 510 hatchback"
"323",40.8,4,85,65,2110,19.2,80,3,"datsun 210"
"326",36.4,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"328",44.6,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"330",29.8,4,89,62,1845,15.3,80,2,"vokswagen rabbit"
"332",23.7,3,70,100,2420,12.5,80,3,"mazda rx-7 gs"
"340",39.1,4,79,58,1755,16.9,81,3,"toyota starlet"
"342",35.1,4,81,60,1760,16.1,81,3,"honda civic 1300"
"343",32.3,4,97,67,2065,17.8,81,3,"subaru"
"346",34.1,4,91,68,1985,16,81,3,"mazda glc 4"
"349",29.9,4,98,65,2380,20.7,81,1,"ford escort 2h"
"351",33.7,4,107,75,2210,14.4,81,3,"honda prelude"
"355",28.1,4,141,80,3230,20.4,81,2,"peugeot 505s turbo diesel"
"359",22.4,6,231,110,3415,15.8,81,1,"buick century"
"367",29,4,135,84,2525,16,82,1,"dodge aries se"
"368",27,4,151,90,2735,18,82,1,"pontiac phoenix"
"370",36,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"371",37,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"374",36,4,98,70,2125,17.3,82,1,"mercury lynx l"
"375",36,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"380",38,4,91,67,1995,16.2,82,3,"datsun 310 gx"
